language,repo,commit,directory,file,function,project_type,status
circom,https://github.com/AmirH-A/ZKWave,a22bf33,circuit/,wave.circom,main,OK,
circom,https://github.com/BattleZips/BattleZips-Circom,d6f6b0e,zk/circuits/,*.circom,main,Great,
circom,https://github.com/FlynnSC/zk-hunt,3965203,src/,*.circom,main,Good, 
circom,https://github.com/Rate-Limiting-Nullifier/circom-rln,17f0fed,circuits/,*.circom,main,Great,
circom,https://github.com/SpiralOutDotEu/zk_whitelist,01c84e4,templates/,circuit.circom,main,OK,
circom,https://github.com/Unitychain/zkvote-web,1eb4240,circom/,zkVote.circom,main,OK,



circom,https://github.com/a16z/zkdrops,a4e58bd,zkdrops-contracts/circuits/,circuit.circom,main,Good,
circom,https://github.com/advaita-saha/zk-Voting,776155b,circuits/,circuit.circom,main,Good,
circom,https://github.com/alxkzmn/zk-wordle,aedc210,circuits/src/,*.circom,main,Good,
circom,https://github.com/ameensol/privacy-pools,12dae2d,circuits,*.circom,main,Great,
circom,https://github.com/bankisan/zkShield,acb853c,src/,*.circom,main,Great, move circuits to top
circom,https://github.com/darkforest-eth/circuits,9033eaf,./,*.circom,main,Great, move all main circuits on the top dir -- change template private to main
circom,https://github.com/enricobottazzi/ZK-SBT,fd5f9f6,circuits/,verify.circom,main,Great,
circom,https://github.com/factorgroup/nightmarket,366b4d7,circuits/,*.circom,main,Good, move sell and list to circuits top dir
circom,https://github.com/glamperd/snark-example,0ba1560,poker/,poker.circom,main,Bad, fix private from template
circom,https://github.com/heivenn/zk-blind-auction,7f7ed45,circuits/,highestbidder.circom,main,OK, 
circom,https://github.com/holyaustin/ZeroSecret,f7724ec,circuits/,zkblind.circom,main,Good,
circom,https://github.com/iden3/circuits,ab9d53f,circuits/,*.circom,main,Great,
circom,https://github.com/jefflau/zk-identity,51e1551,test/,*.circom,main,Good, move circuits to main and remove unrelated tests (e.g., hash)
circom,https://github.com/mjerkov/membership,135e551,zk/circuits/,merkle.circom,main,Bad,
circom,https://github.com/nalinbhardwaj/snarky-sudoku,9c57db9,circuits/,sudoku.circom,main,OK,
circom,https://github.com/noway/nzcp-circom,c8b3e3b,circuits/,nzcp_liveTest.circom,main,OK, minor fix required in the import
circom,https://github.com/nulltea/zk-SQL,4c3626d,circuits/,*.circom,main,Good, move utils to utils dir
circom,https://github.com/nulven/EthDataMarketplace,1d45cee,circuits/,*.circom,main,OK, fix private and move everything to top except utils.
circom,https://github.com/nulven/zk-message-board,f5a220f,circuits/,*/*.circom,main,OK, fix private
circom,https://github.com/pratham-bhatnagar/zkpVault,48491e4,circuits/,*/*.circom,main,OK, needs cleanup
circom,https://github.com/privacy-scaling-explorations/maci,c2bb8d0,packages/circuits/circom/,*.circom,main,Great,we need to generate the main circuits from the json
circom,https://github.com/rubydusa/circom-graceful-labeling,7c95d1e,circuits/,main.circom,main,OK,
circom,https://github.com/rubydusa/proof-of-life,b030124,circuits/,main.circom,main,Good, instantiate
circom,https://github.com/semaphore-protocol/semaphore,f679583,packages/circuits/src/,main.circom,main,Great, we need to generate the circuit from the json
circom,https://github.com/sismo-core/hydra-s1-zkps,388bcae,circuits/,hydra-s1.circom,main,Great,
circom,https://github.com/socathie/ZKaggleV2,1e76ec4,hardhat/circuits/,circuit.circom,main,OK,
circom,https://github.com/socathie/zkPhoto,12b8d51,circuits/,zkPhoto.circom,main,OK,
circom,https://github.com/tornadocash/tornado-core,1ef6a26,circuits/,withdraw.circom,main,Great, we need to update the circuits to latest format (e.g., private is in template)
circom,https://github.com/trifle-labs/anybody-problem,509e356,circuits/,*.circom,main,Good, split the files to those with main and without
circom,https://github.com/vocdoni/zk-franchise-proof-circuit,dc66587,./,census.circom,main,Great, we need to move it out to top dir and uncomment main
circom,https://github.com/vplasencia/zkGames,a068017,circuits/,*/*.circom,main,Good,
circom,https://github.com/web3-master/zksnark-sudoku,b06a4e8,./,sudoku.circom,main,Great, we need to move to top dir from packages/circuit/circuits
circom,https://github.com/weijiekoh/zkmm,f988828,mastermind/circuits,mastermind.circom,main,Great,
circom,https://github.com/weijiekoh/zknftmint,6d41780,circuits/circom/test/,NftMint_test.circom,main,OK,
circom,https://github.com/z-kaggle/ZKaggle,97babe4,hardhat/circuits/,circuit.circom,main,OK,
circom,https://github.com/zk-ml/linear-regression-demo,e558676,circuits/,lr/circuit.circom,main,Good,OK, fix private etc.
circom,https://github.com/zk-passport/openpassport,62be8c9,TODO,TODO,main,Great,
circom,https://github.com/zkMaps/zkMaps,4b48b46,main_circuits/,*.circom,main,Great, move aboveline and raytracing to main directory
circom,https://github.com/zkemail/proof-of-twitter,b6d9c2d,src/,twitter.circom,main,Great, move to top the circuits
circom,https://github.com/zkemail/zk-email-verify,b193cf0,tests/test-circuits/,*.circom,main,Great, move packages/circuits to main and figure out which tests to keep
circom,https://github.com/zkemail/zk-regex,b7bb363,./,*.circom,main,Great,  move packages circom on top and all tests to top so we can just run them
circom,https://github.com/zkp2p/zkp2p-poc,d07265d,circuit/,circuit.circom,main,Great,
noir,https://github.com/BattleZips/BattleZips-Noir,,,,,
noir,https://github.com/Maddiaa0/noir-storage-proofs-demo,,,,,
noir,https://github.com/Philogy/zk-sudoku-noir,,,,,
noir,https://github.com/Rate-Limiting-Nullifier/noir-rln,,,,,
noir,https://github.com/ZKCamp/noir-voting,,,,, code is not in the main repo
noir,https://github.com/colinnielsen/dark-safe,,,,,
noir,https://github.com/colinnielsen/ecrecover-noir,,,,,
noir,https://github.com/gakonst/noir-hello-world,,,,, trivial issue
noir,https://github.com/guipublic/crypdoku,,,,,
noir,https://github.com/jimjimvalkema/scrollZkWormholes,,,,,
noir,https://github.com/joss-aztec/quadratic_voting_noir,,,,,
noir,https://github.com/kilyig/zkMafia,,,,,
noir,https://github.com/madztheo/zk-fruits-noir-project,,,,,
noir,https://github.com/metavind/noir-ml,,,,,
noir,https://github.com/noir-lang/noir-examples,,,,,stealthdrop
noir,https://github.com/noir-lang/noir_json_parser,,,,, need to write main
noir,https://github.com/noir-lang/noir_string_search,,,,, need to write main
noir,https://github.com/partylikeits1983/privacy-vote,,,,,
noir,https://github.com/pintoinfant/heimdall-protocol,,,,,
noir,https://github.com/porco-rosso-j/safe-recovery-noir,,,,,
noir,https://github.com/richardliang/zkdsl-workshop,,,,, trivial issue
noir,https://github.com/sambarnes/noir-by-example,,,,,
noir,https://github.com/thor314/circuit-examples,,,,,
noir,https://github.com/vezenovm/mastermind-noir,,,,,
noir,https://github.com/vezenovm/simple_shield,,,,,
noir,https://github.com/vocdoni/smtverifier-noir,,,,,
noir,https://github.com/zkemail/zkemail.nr,,,,,
noir,https://github.com/zkpassport/circuits,,,,,
noir,https://github.com/zkpersona/noir_social_verify,,,,,
noir,https://github.com/zubietaroberto/zkvax,,,,,
